IPAddress,Duration (in seconds),responseId,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101,aid
206.214.59.63,1366,R_6EgZcDegkmgsyLH,47,-123,1,1,49,2,5,2,12,4,4,30,100,15,20,60,20,1,5,5,5,5,2,5,5,5,5,5,5,5,5,,1,4,4,4,4,4,4,,,,,,,,,285,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,3,,,,,,,,,,2,4,4,4,4,2,4,4,4,4,4,4,4,4,15,,3,100,100,122,122,116,117,5,1,8,4,,2,3,2,2,,2,2,4,2,5,1,4,3,4,7,4,3,5,3,2,6,4,5,5,7,4,"4,5,7",3,2,1,98312,3001,3019,2,659a43e5-8beb-29b4-803c-5e3c38c0a10b
99.164.69.225,360,R_6Ej9opMpkRsHrIB,33,-98,1,1,44,1,3,1,"12,10,4",10,12,50,50,60,40,30,20,5,1,5,"1,2","1,2",5,"1,2",5,5,"1,2",5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,,5,,5,5,,5,,,5,,,5,,,1,,2,3,,2,,,1,,,2,,4,,,,5,5,,5,,,5,,,5,,,,,1,2,,2,,,"2,3",,,1,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,Internet ,3,37,33,81,84,108,107,5,3,8,11,3,2,3,3,3,,3,3,5,3,5,4,2,3,5,5,5,1,5,2,3,5,2,2,3,7,7,6,8,4,3,78251,2471,31,2,65bd5a1d-36cc-ad60-f96c-6bf8b961e98d
68.44.10.176,910,R_6EmLbonKir6Tn03,39,-87,1,1,15,1,5,1,3,11,11,10,35,10,27,29,15,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,65,60,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,60,65,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,54,58,45,43,55,60,5,1,8,1,,2,3,3,2,,2,2,1,2,2,4,4,4,3,6,6,5,6,5,4,5,5,5,5,7,5,"4,5,7",8,1,1,47401,712,51,3,65ac9114-7841-b64b-7d77-adf139da1ee3
98.231.42.115,1412,R_6EnvUdID5jZx7m6,30,-82,1,1,10,2,6,1,3,1,1,0,75,10,15,0,0,1,5,5,1,2,1,5,2,5,5,2,1,2,1,None,4,2,2,4,1,4,4,,,2,,,2,2,,150,,,50,,40,,,,,,20,,0,2,,,2,,2,,,,,,2,,2,1,,,,,0,,,25,,,80,,0,,,,,,3,,,2,,,2,,3,,1,1,2,2,2,3,2,4,3,3,3,4,2,4,4,15,,3,65,44,86,95,92,104,5,1,8,6,,2,2,3,2,,2,2,4,2,5,4,3,4,3,6,5,3,5,5,4,6,6,4,5,7,5,4,3,1,1,32254,330,345,3,659b19a7-f0d5-c2f3-4b0f-5244dd888e9c
96.29.51.153,878,R_6EtkcMggTZ2KYNO,38,-85,1,1,18,1,7,1,12,11,11,0,50,15,25,20,30,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,"1,2",2,,4,4,4,4,4,4,4,,,,,,,,,40,110,,,,,,,,,,,60,,3,3,,,,,,,,,,,3,,,30,110,,,,,,,,,,,40,45,3,3,,,,,,,,,,,3,3,,2,2,4,4,1,4,4,4,4,4,4,4,2,2,15,,3,82,79,137,126,140,131,4,1,8,"1,2,7",,2,3,3,2,,2,2,4,1,1,2,3,4,4,4,4,4,5,5,3,5,4,5,5,7,5,"3,5,7",5,3,2,40071,1011,786,1,6596236c-adcd-66bb-b21b-524c9170c83d
24.9.227.67,1105,R_6EyJSQ5i5l8G0E1,40,-105,1,1,6,1,7,1,12,8,8,10,20,2,15,25,10,5,"1,2",5,5,5,5,5,5,5,5,5,5,5,"1,2",,1,4,4,4,4,4,4,,,,,,,,,,125,,,,,,,,,,,,20,,3,,,,,,,,,,,,3,,,125,,,,,,,,,,,,20,,3,,,,,,,,,,,,3,,2,3,3,4,2,2,2,3,4,4,4,4,2,2,15,,3,19,25,91,89,109,111,5,3,4,11,3,2,3,3,2,,2,2,1,2,1,4,6,7,6,6,6,6,6,4,4,5,4,1,1,7,4,"4,5",7,2,1,80126,250,269,2,65ae747d-c989-b5b7-e957-c2c72c152ec8
100.10.48.174,924,R_6Ez02OdrIUXxuwd,42,-72,1,1,41,2,7,1,12,10,10,10,8,3,8,14,7,2,"1,2",5,5,5,2,5,5,5,5,5,5,"1,2",1,,4,4,4,4,4,4,4,,,,,,,,,,75,,,,,,,,,,,15,0,,3,,,,,,,,,,,3,3,,20,70,,,,5,,,,,,,10,,3,3,,,,3,,,,,,,3,,,3,2,2,4,4,2,4,4,4,4,4,4,2,2,15,,3,37,35,43,45,15,25,5,1,8,1,,2,3,3,2,,2,2,1,4,5,6,5,3,5,6,4,7,7,7,3,7,7,7,6,7,5,"4,5,7",8,3,1,2893,2351,325,2,6596c73b-e563-6592-ca84-ff27038c54ea
198.37.249.74,581,R_6F35DoRrsES8kuw,38,-85,1,1,18,1,3,2,12,5,5,20,20,20,20,50,20,"1,2","1,2","1,2",2,5,"1,2",5,"1,2",5,5,5,1,"1,2",5,,2,4,2,2,2,4,4,,2,2,2,,,,,70,70,30,,,20,,25,,,,15,40,,3,3,3,,,3,,3,,,,3,1,,,75,100,0,0,,30,,0,,,,,60,,3,3,3,3,,3,,3,,,,,1,,,2,2,3,4,4,2,1,2,4,4,4,3,3,4,17,I saw it on a drive one day,3,18,6,86,40,45,73,5,1,8,"1,5",,2,3,3,2,,2,2,1,1,2,4,4,3,5,7,2,6,5,6,4,6,7,7,5,7,6,"4,5,7",7,4,1,40324,1011,179,2,65a12593-bd70-436c-5586-f974dfc62f27
174.26.159.184,2507,R_6F38oqg8aKoTGlm,34,-112,1,1,3,1,7,2,14,5,2,10,20,20,30,20,5,2,5,5,5,5,1,1,1,5,5,5,5,1,2,,4,4,4,4,4,4,4,,,,,,,,,,,,,,20,40,0,,,,,30,,,,,,,1,1,3,,,,,3,,,150,,,,,,,,,,,,,30,1,,,,,,,,,,,,,3,,2,3,3,3,3,2,2,1,4,4,4,2,2,2,15,,3,56,69,52,51,30,22,5,3,"1,4","7,8",,2,3,3,2,,2,2,4,2,1,6,5,5,5,5,3,3,5,6,6,6,6,6,6,7,3,"1,3,4",3,3,1,85120,99,111,2,6596d919-7c84-30bd-a8eb-4298ac9659f3
143.59.83.92,830,R_6F4D03LG3Inz7e2,28,-83,1,1,10,2,6,1,12,4,5,10,25,15,15,20,10,"1,2","1,2",5,5,5,5,1,5,5,5,5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,80,50,,,,,20,,,,,,0,,3,3,,,,,3,,,,,,3,,,40,40,,,,,,,,,,,20,,3,3,,,,,,,,,,,3,,,3,2,4,4,4,4,1,1,4,4,4,1,2,1,15,,3,21,22,58,59,99,102,5,1,7,"1,6,7",,2,3,3,2,,2,2,3,2,2,4,7,4,6,7,1,7,5,7,3,7,7,7,2,7,7,"4,5,6",7,1,1,33707,330,382,2,65994cff-660c-40d6-90c9-a9d13219915b
99.111.205.25,683,R_6F4KpVk1nCuvDZi,40,-86,1,1,15,1,4,1,12,12,12,20,60,20,30,30,20,"1,2","1,2",2,"1,2","1,2","1,2",5,2,5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,125,75,,50,40,15,,,,,,40,100,0,3,3,,3,2,3,,,,,,3,3,3,2,125,75,30,20,30,20,,0,,,,40,50,20,3,3,3,3,2,3,,3,,,,3,3,3,2,2,2,2,2,2,3,3,3,2,3,4,3,2,2,15,,3,29,31,53,60,85,82,5,1,1,1,,2,3,3,2,,2,2,1,2,4,4,3,6,3,6,3,2,6,5,5,5,6,4,6,7,2,"4,5,7",3,3,1,46241,712,48,2,65b62e67-45d1-35a6-0473-61c0da02e8f8
47.156.198.179,1181,R_6F5FJMObDE9IAW2,34,-117,1,1,5,1,4,6,12,11,11,20,40,40,20,100,0,5,"1,2",5,"1,2",2,"1,2",5,5,5,5,5,5,5,"1,2",,4,4,4,4,4,4,4,,,,,,,,,,200,,100,,30,,,,,,,,30,,3,,3,,3,,,,,,,,3,,,200,,100,10,5,,,,,,,,5,,3,,3,2,3,,,,,,,,3,3,2,3,4,2,3,2,3,4,4,4,4,4,4,3,15,,3,71,73,146,155,162,162,1,1,8,3,,2,3,2,2,,2,2,4,2,2,4,5,6,5,6,3,3,5,4,5,3,5,3,3,7,3,2,4,3,2,92308,191,227,2,65b69ad5-9e11-7959-66a4-92454a233e4b
75.40.53.138,1729,R_6F98DVj52XlnuQc,34,-84,1,1,11,2,7,1,12,7,7,20,40,30,30,20,20,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,125,75,,,,,,,,,,,50,,3,3,,,,,,,,,,,3,,,100,50,,,,,,,,,,,30,,3,3,,,,,,,,,,,3,,,2,2,4,4,4,4,4,4,4,4,4,4,3,4,15,,3,52,50,95,95,29,35,5,2,8,1,,2,3,3,2,,2,2,4,2,1,4,7,1,7,7,5,7,7,7,6,7,7,7,7,7,7,"1,4,5",8,3,1,30043,398,465,2,65965abe-5fca-b953-0100-f4712bac0361
70.178.45.23,1396,R_6FFCD4dZs2fT29P,35,-95,1,1,37,1,7,1,12,2,2,6,12,6,0,0,8,"1,2",5,5,5,5,"1,2",5,5,5,5,5,5,5,5,,4,4,4,4,2,4,4,,1,,,,,,,40,,,,,20,,,,,,,,,3,,,,,3,,,,,,,,,,40,,,,,20,,,,,,,,,3,,,,,3,,,,,,,,,,3,4,4,4,4,3,4,4,4,4,4,4,4,4,15,,3,37,38,31,29,0,0,5,1,8,"1,8",,2,1,1,1,1,1,1,4,1,5,4,4,1,4,7,4,1,4,4,4,6,7,6,2,7,1,"1,4,7",6,1,1,74932,2168,2208,1,65966a2d-6c23-3bb7-a796-d05966d04987
98.30.114.231,960,R_6FHPGdou7ai9CY9,41,-83,1,1,36,1,7,1,12,3,3,8,45,15,22,45,45,"1,2","1,2",5,1,5,"1,2",5,"1,2",5,5,5,"1,2","1,2","1,2",,4,4,"1,2",4,"1,2",4,4,,1,1,,,,,,75,35,,0,,25,,0,,,,0,20,20,3,3,,3,,3,,3,,,,3,3,3,,70,35,,,,25,,0,,,,0,20,20,3,3,,,,3,,3,,,,3,3,3,,1,1,4,2,4,2,4,2,4,4,4,2,2,2,15,,3,30,31,72,57,91,72,5,1,8,"2,8",,2,2,3,2,,2,2,4,2,3,4,2,5,4,7,6,1,6,2,2,7,5,3,4,7,3,"4,5,7",7,1,1,44867,2079,1911,1,6597c965-d97d-87fb-71c4-e2c04ccfbb63
107.11.99.195,515,R_6FJCkCRpeI0UVfX,39,-84,1,1,36,1,6,1,12,12,12,25,60,15,25,0,10,"1,2","1,2",5,5,5,"1,2","1,2",5,5,5,5,"1,2","1,2","1,2",,1,4,4,4,4,4,4,,,,,,,,,150,75,,,,0,0,,,,,0,50,50,3,3,,,,3,3,,,,,3,3,3,,100,50,,,,0,0,,,,,0,50,50,3,3,,,,3,3,,,,,3,3,3,,2,2,2,4,4,2,2,2,4,4,4,2,2,2,15,,3,63,66,240,240,122,127,5,3,8,1,,2,3,3,2,,2,2,1,2,3,4,5,4,5,5,5,4,6,6,5,5,5,5,3,7,4,"3,5,6",7,4,1,45036,2079,547,2,659b4c91-76cd-faae-85f0-40c60900953c
107.122.189.29,6871,R_6FJuWzAlx6QJSMW,39,-77,1,1,22,2,4,1,12,8,10,10,50,20,30,75,15,"1,2","1,2","1,2","1,2","1,2","1,2","1,2",5,5,5,5,5,"1,2","1,2",,4,4,4,4,1,4,4,,,,,,,1,,0,0,0,0,100,0,0,,,,,,0,0,3,3,3,3,2,3,3,,,,,,3,3,3,50,50,0,40,40,0,0,,,,,,0,0,3,3,3,3,"2,3",3,3,,,,,,3,3,3,2,2,2,2,1,1,1,4,4,4,4,4,2,2,15,,3,41,64,52,90,90,126,5,1,8,"1,8",,2,2,2,2,,2,2,1,2,1,2,3,2,3,7,2,3,5,5,6,6,4,4,4,7,5,"4,5,7",8,3,2,2150,1239,1252,3,65ac5b66-1dd9-f0ac-fa7f-6fb4d514bd87
107.77.208.64,686,R_6FKUnXxU0KeKofq,42,-88,1,1,24,2,4,1,12,12,12,100,90,80,80,70,90,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",walmart,"1,2","1,2","1,2","1,2","1,2","1,2","1,2",1,1,1,1,1,1,2,1,100,90,80,100,150,90,100,100,100,100,100,90,80,90,"1,2",2,"1,2","1,2",2,"1,2",2,1,"1,2",1,"1,2",1,2,1,1,100,200,90,100,80,90,100,100,150,80,90,100,80,100,"1,2",2,"1,2",2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,,3,81,105,120,189,213,187,1,1,8,"3,4",,2,3,3,2,,2,2,4,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"2,3,5",8,5,5,55130,1338,1341,3,65ac15d1-8a1b-f2f4-84b6-64468cb60227
199.192.123.3,875,R_6FKfhAaoZrrizoB,37,-83,1,1,18,2,3,2,12,6,6,10,20,10,10,20,30,"1,2",5,5,"1,2","1,2","1,2",5,5,5,5,2,5,"1,2",5,Hello fresh ,4,4,1,"1,2","1,2",4,"1,2",,1,,1,1,2,2,,600,,,50,100,100,,,,,,,20,,1,,,1,1,1,,,,,,,1,,,700,,,200,50,25,,,,,100,,10,,1,,,1,1,1,,,,,1,,1,,,1,1,4,3,1,1,4,4,4,4,1,4,4,4,15,,3,66,105,153,237,135,227,4,1,8,1,,2,2,2,1,1,1,1,4,1,2,4,6,7,7,7,7,7,7,7,7,6,6,7,6,7,7,"1,3,4",5,3,2,41339,1011,1024,1,659b65ae-9fe2-6222-57c3-718eed39a0d1
108.209.31.96,11180,R_6FLOBlC9dqQTiE2,36,-79,1,1,34,2,7,1,12,4,4,0,10,10,2,20,20,"1,2","1,2",5,5,5,"1,2",5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,45,45,,,,25,,,,,,,,,3,3,,,,3,,,,,,,,,,45,45,,,,25,,,,,,,,,3,3,,,,3,,,,,,,,,,2,2,4,4,4,2,4,4,4,4,4,4,4,4,15,,3,20,20,120,120,120,120,5,2,8,8,,2,3,3,3,,2,2,4,2,5,4,4,1,4,7,1,1,4,4,4,5,5,4,1,7,1,"4,5,7",6,2,1,27616,1924,2016,3,6596eb62-3cad-639e-73a0-e18b65cc9782
75.192.139.159,1063,R_6FOMJrF3Klcc9mo,40,-77,1,1,39,1,5,1,12,7,7,5,20,5,10,30,10,"1,2","1,2",5,5,5,"1,2","1,2","1,2",5,5,5,5,"1,2","1,2",,4,4,"1,2","1,2","1,2",4,4,,3,1,3,,,,,20,65,,,,5,0,0,,,,,10,0,3,3,,,,3,3,3,,,,,3,3,,15,50,,,,5,5,5,,,,,10,0,3,3,,,,3,3,3,,,,,3,3,,2,3,2,3,4,2,2,1,1,4,4,4,2,2,15,,3,9,9,30,31,40,40,5,2,8,"1,6",,2,2,1,1,2,1,2,2,4,5,4,4,3,4,7,2,1,5,3,1,6,5,1,1,7,1,"3,4,7",5,5,1,17347,2283,1213,1,65abc12f-3458-da8f-94eb-b66d233a85a6
174.202.164.89,672,R_6FQXNYIg8lDD0wB,35,-98,1,1,37,2,6,1,12,4,4,10,50,10,20,20,5,1,5,5,1,1,1,5,5,5,5,5,5,1,1,,4,4,1,4,1,4,4,,,,,,,,,50,,,5,0,10,,,,,,,0,0,3,,,3,3,3,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,,3,38,40,57,73,5,12,4,1,8,6,,2,2,1,1,1,1,2,1,1,3,4,1,1,5,2,7,2,5,3,6,6,6,6,7,7,2,"1,2,5",3,1,1,73106,2168,2223,1,6596a57f-32f8-2c24-c31a-41ee08690e55
23.174.48.2,636,R_6Fa0ljRieTPZepu,37,-121,1,1,5,2,6,1,"1,12",3,3,20,50,22,20,40,45,"1,2","1,2",2,"1,2","1,2","1,2","1,2","1,2","1,2",1,5,"1,2","1,2","1,2",,4,"1,2","1,2",4,"1,2",4,4,,1,3,,,1,1,,180,25,,20,0,25,25,25,0,0,,30,20,20,1,3,,3,2,3,3,3,3,3,,3,3,3,2,150,30,0,20,26,36,0,0,0,,,30,25,20,3,3,3,3,2,3,3,3,3,,,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,,3,60,61,74,71,71,72,5,1,8,1,,2,2,2,1,1,1,1,5,4,5,4,7,6,7,7,4,1,7,7,5,6,6,6,4,7,4,"3,7",6,3,1,93635,191,215,1,65978ffe-b28c-dc85-3ec5-7f73e87d0297
47.200.220.123,741,R_6FhUVNe5TOxrOsg,28,-83,1,1,10,1,7,1,12,8,8,12,24,7,15,20,15,"1,2","1,2",5,5,5,5,5,1,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,75,12,,,,,,5,,,,,,,1,3,,,,,,3,,,,,,,,59,15,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,2,3,4,4,4,4,4,2,4,4,4,4,4,4,17,They are on the highway I use about 5 miles north of where I live,3,30,40,15,15,20,30,5,1,8,"1,3,4",,2,3,3,2,,2,2,3,2,5,4,5,1,6,7,2,1,6,2,7,7,6,2,3,7,3,"1,3,4",8,1,1,34222,330,370,2,65980a04-8d21-a9f8-be9b-06d3785c6774
73.150.38.128,670,R_6FjOsLhJSBJsSGJ,39,-75,1,1,31,2,4,1,12,8,9,10,20,15,20,35,10,"1,2","1,2",5,5,"1,2",5,5,5,5,5,2,5,5,2,Hello fresh,4,4,4,4,4,4,4,,,,,,,,,100,35,,,0,,,,,,,,,,"1,2",3,,,3,,,,,,,,,,1,50,10,,,0,,,,,,80,,,30,"1,2",3,,,3,,,,,,2,,,3,4,2,2,4,4,3,4,4,4,4,4,3,4,4,3,15,,3,45,60,29,59,20,20,4,1,8,"1,3,5",,2,2,2,1,2,1,1,4,1,1,4,3,2,2,7,3,1,5,1,7,5,3,2,1,7,4,"4,5,7",7,1,1,8204,1805,1810,2,659b38f1-7c59-b4d3-4bc9-3f69fdbca452
76.18.229.46,1289,R_6Fmef1b6rQmNgtz,30,-82,1,1,10,1,3,1,3,2,3,25,30,10,10,20,25,"1,2",5,"1,2","1,2","1,2","1,2",5,5,5,5,5,"1,2","1,2",1,,4,4,1,4,4,4,4,,,,,,,,,60,,20,10,45,15,,,,,,35,25,15,3,,3,3,2,3,,,,,,3,2,2,4,35,,10,20,20,15,,,,,,25,20,,3,,3,3,2,3,,,,,,3,2,,4,2,2,2,1,2,2,4,4,3,4,4,2,2,2,15,,3,39,35,25,18,26,23,5,1,8,7,,2,3,3,2,,2,2,1,2,5,4,4,5,5,7,2,3,3,7,7,7,6,5,5,7,6,"4,5,7",3,1,1,32209,330,345,2,659b601d-5ea1-2335-5871-c5073c04c53d
162.217.189.136,2958,R_6FmhzpHaUzuuM3W,42,-91,1,1,16,2,7,1,12,2,2,35,25,30,10,0,5,5,"1,2",5,5,5,"1,2","1,2",5,5,5,5,"1,2",5,5,,"1,2",4,4,4,4,4,4,,,,,,,,,,55,,,,25,15,,,,,10,,,,3,,,,3,3,,,,,3,,,,,0,,,,0,0,,,,,0,,,,"1,2,3",,,,"1,2,3","1,2,3",,,,,"1,2,3",,,4,4,3,4,4,4,2,3,4,4,4,4,3,3,3,15,,3,60,68,95,136,20,65,1,1,7,"1,8",,2,2,2,2,,1,2,4,2,3,6,1,3,2,7,5,1,7,7,4,6,6,7,6,7,1,"3,4,5,6",6,1,1,52776,805,875,1,659756a2-e790-7260-ba1e-253073367718
162.237.15.4,948,R_6FnVfSfxNtF70Fr,35,-92,1,1,4,2,6,1,3,6,7,0,50,10,20,20,20,"1,2","1,2",5,5,5,"1,2",5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,1,4,4,,,,,,1,1,,150,100,,,,0,,,,,,,100,0,1,1,,,,3,,,,,,,1,3,,80,100,,,,50,,,,,,,50,0,1,1,,,,1,,,,,,,1,3,,2,2,4,2,2,2,2,4,4,4,4,4,2,4,15,,3,43,46,87,94,100,127,5,1,8,"3,4,5,6",,2,2,3,1,3,2,3,3,2,3,4,5,4,5,5,5,6,5,5,5,4,3,5,5,7,4,"4,5,7",6,2,1,72118,115,175,2,65979195-370d-e8b1-2504-7bf098320852
172.58.227.169,2242,R_6FwVZ0vAKVgqGYs,41,-74,1,1,7,1,4,1,12,11,11,40,120,60,40,60,40,5,"1,2","1,2",5,5,"1,2","1,2","1,2",5,5,5,5,5,5,,2,4,4,4,4,4,4,,,,,,,,,,125,75,,,33,33,34,,,,,,,,3,1,,,3,3,3,,,,,,,,,140,60,,,20,50,30,,,,,,,,"1,2",1,,,3,3,3,,,,,,,4,3,2,1,4,3,2,2,1,4,2,4,2,3,1,20,Word of mouth,3,13,10,19,21,17,24,5,3,8,"1,5",,2,3,3,2,,2,2,4,2,1,4,6,6,6,4,4,5,5,6,6,6,6,6,2,7,4,"1,2,3",5,4,1,6704,315,320,3,65ac44c5-1a01-c9ec-6de9-526a0bf0ac5c
136.54.95.242,892,R_6FyWsMummRAGYFC,36,-79,1,1,34,2,4,3,12,7,9,30,25,15,20,10,20,"1,2","1,2",2,5,2,"1,2","1,2",2,5,5,5,2,"1,2","1,2",,2,4,4,4,2,4,4,,2,,,,,2,,50,35,,,,40,20,,,,,,30,20,2,3,,,,3,3,,,,,,1,1,1,40,20,0,,35,20,20,10,,,,5,15,0,2,1,3,,2,1,3,3,,,,3,1,"1,2",2,1,1,1,2,1,2,1,1,4,4,4,1,1,1,20,Family member told us about it ,3,20,30,30,60,30,90,1,1,6,1,,2,3,3,2,,2,2,4,1,1,5,5,5,5,6,6,2,7,7,6,7,5,5,5,7,4,5,7,2,1,27610,1924,2016,3,65acaa78-f697-41b5-1dd0-5ac41f0325d3
65.24.38.176,752,R_6G3zfaOPA7maXPN,40,-84,1,1,36,2,3,1,12,8,10,15,23,11,19,68,22,"1,2",2,2,"1,2","1,2","1,2",2,2,2,2,2,"1,2","1,2","1,2","Hello fresh, blue aprons ",4,4,2,4,4,4,2,,,2,,2,,,,145,,,23,25,10,,,,,,22,45,62,"1,2",,,3,2,3,,,,,,3,"1,2","1,2",1,22,45,57,13,12,22,72,7,8,8,82,45,29,56,1,3,2,2,1,1,"1,2",2,"1,2","1,2",2,2,1,2,1,1,2,3,2,1,1,3,3,3,3,3,2,1,2,"20,21",Friends,3,19,29,103,79,49,68,1,3,5,"3,6,7",,2,2,2,1,3,2,2,2,1,1,5,5,6,5,6,5,4,6,7,6,5,3,5,5,7,4,"4,5,6,7",8,5,4,43311,2079,157,1,65ac9173-03fb-e66e-97ff-1972e73cac22
73.42.181.234,1573,R_6G8SaL3LDKax6JB,48,-117,1,1,49,1,7,1,12,9,8,5,5,3,7,3,4,5,"1,2",5,5,5,5,5,5,5,5,5,5,5,"1,2",,2,4,4,4,4,4,4,,,,,,,,,,25,,,,,,,,,,,,10,,3,,,,,,,,,,,,3,,,25,,,,,,,,,,,,10,,3,,,,,,,,,,,,3,,4,2,4,4,4,4,3,4,4,4,4,4,4,2,15,,3,26,19,19,16,30,25,5,1,8,6,,2,3,3,2,,2,2,1,4,5,4,5,3,5,4,5,4,5,5,4,6,5,6,6,7,3,"3,5,6",8,1,1,99207,3001,3033,3,65963a2b-e3c1-34fc-913d-3b081c46cc82
67.1.235.105,689,R_6G9aehyAUb7OTdR,32,-111,1,1,3,2,5,1,12,8,10,5,45,15,25,20,12,1,1,5,5,5,5,2,5,5,5,5,2,5,"1,2",,4,4,4,4,4,4,4,,,,,,,,,15,120,,,,,,,,,,,,60,3,3,,,,,,,,,,,,3,,,,,,,,0,,,,,45,,60,,,,,,,3,,,,,3,,3,,2,2,2,4,2,4,2,2,4,4,4,2,2,2,15,,3,59,59,57,55,119,120,5,1,8,1,,2,3,3,2,,2,2,2,2,2,4,6,2,7,7,1,1,6,5,4,5,7,2,4,7,4,"3,4,7",7,2,1,85715,99,110,3,6596c791-3ddf-e746-369d-f093eae0882b
68.40.210.19,572,R_6GAJ5I16NXBLbYG,42,-83,1,1,23,2,5,1,3,4,4,20,0,16,40,0,0,1,1,2,1,1,5,1,2,5,5,5,1,2,1,,1,1,1,2,1,4,4,,,,3,,1,1,,200,50,,50,0,,0,,,,,0,,50,1,2,,2,"1,3",,1,,,,,3,,1,2,,,0,,,,,0,,,,,40,,,,3,,,,,3,,,,,2,,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,19,Word of mouth ,3,81,96,147,49,226,161,4,1,8,1,,2,2,2,2,,1,1,1,4,1,2,3,5,5,6,5,5,5,5,7,5,6,3,6,7,3,"4,5",5,4,2,48186,1254,549,2,659b63b0-2f0c-1aa4-2dcc-ad0c16df999b
